CID,TeamID,FName,LName,College,Age,Experience,OffPhil,DefPhil,LoyaltyPlayers,LoyaltyCoaches,Ego,OffAbility,DefAbility,STAbility,DevPlayers,JudgingAct,JudgingPot,JudgingQB,JudgingRB,JudgingRec,JudgingOL,JudgingDL,JudgingLB,JudgingCB,JudgingSF,Accountability,Motivating,TimeMgmt,Clutch,Conservative,FBInt,Adjustments,ValuesST,ValuesCharacter,WorkEthic,Preparation,Focus,PlaycallingSkill
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,CLIFTON,CAVITT,Florida State,60,22,WCRun,Cover2Attack,53,41,45,82,58,47,67,59,64,51,52,86,57,48,33,57,18,28,29,44,47,39,56,48,62,86,55,43,57,68
2,2,DAN,BURDETTE,Miami(FL),67,3,Smashmouth,4-3StuffRun,34,28,73,48,65,75,52,54,20,76,56,78,24,40,38,65,61,36,33,26,56,63,35,61,82,30,41,50,48,55
3,3,RICHARD,WHITE,North Carolina A&T,39,2,WCPass,Cover2Cover,29,54,67,45,57,46,48,43,37,47,31,36,30,28,52,80,54,55,48,54,56,31,61,33,67,74,79,39,39,81
4,4,JOSEPH,MATTHEWS,Arizona,36,3,WCRun,Cover2Bal,44,39,65,81,37,35,38,49,20,46,41,65,53,67,62,61,31,41,59,57,54,61,43,55,42,54,3,65,57,38
5,5,DARRYL,ELLIS,California-Davis,52,4,WCPass,4-3Attack,59,40,52,26,37,45,44,42,24,38,50,34,84,26,82,23,53,60,25,48,51,53,75,44,27,50,33,34,28,26
6,6,THOMAS,HEYWARD,Virginia,57,17,BalRun,Cover2Cover,57,41,53,51,17,52,45,42,50,42,73,71,39,47,41,75,3,90,50,57,15,10,76,47,44,50,33,45,67,35
7,7,GREGORY,SANFORD,Notre Dame,35,3,WCBal,4-3Attack,38,65,52,67,54,54,72,49,50,54,39,23,82,43,41,52,51,33,55,37,66,29,58,54,29,82,49,30,69,48
8,8,PETER,CASTLEMAN,Miami(FL),32,0,WCPass,Cover2Attack,57,59,26,38,16,57,61,40,59,78,64,45,48,40,49,43,48,51,55,64,26,33,58,87,49,55,48,41,55,42
9,9,CORTEZ,HORTON,UCLA,32,0,Smashmouth,4-3Attack,76,55,37,80,49,69,56,49,36,55,58,54,58,44,73,27,50,35,43,21,46,85,31,63,55,44,25,38,34,55
10,10,THADDEUS,RAMOS,Maryland,55,22,BalRun,4-3Attack,60,35,72,70,65,34,56,49,65,62,52,52,70,69,28,36,53,45,45,63,31,34,71,29,40,35,53,72,15,50
11,11,JASON,CAESAR,Stanford,39,3,VertPass,4-3Cover,39,35,43,59,27,55,14,37,84,72,36,23,31,82,58,68,60,47,51,30,71,25,38,40,43,37,45,51,41,58
12,12,TERRY,KEY,Georgia,59,3,SpreadPass,3-4Bal,72,43,29,76,45,81,51,43,52,24,60,59,38,74,75,56,40,57,72,20,70,35,35,58,27,43,51,66,66,70
13,13,CECIL,WILLIAMS,USC,67,12,SpreadPass,3-4Cover,35,54,64,74,87,41,30,60,30,14,43,31,28,60,32,82,49,44,78,56,45,46,54,51,44,65,79,35,47,29
14,14,RONALD,HALL,East Carolina,46,7,WCPass,4-3Attack,66,46,19,67,47,20,71,20,34,45,22,14,27,52,75,41,33,42,76,36,44,52,66,40,61,40,65,43,40,50
15,15,WILLIAM,AUSTIN,Illinois,45,11,BalPass,3-4Cover,70,66,56,78,73,44,59,57,54,40,49,63,40,14,52,31,71,61,55,40,56,73,27,71,68,50,61,31,53,58
16,16,GLEN,GONZALEZ,Colorado State,44,12,Smashmouth,4-3Attack,45,62,57,41,48,73,49,74,40,54,46,69,34,48,78,67,65,44,57,66,59,58,66,43,64,19,37,46,25,67
17,17,RAYMOND,KNOX,Clemson,67,26,WCPass,4-3Cover,52,40,67,40,58,24,63,53,51,68,59,51,18,42,71,50,28,45,36,68,62,54,68,41,33,59,65,38,30,43
18,18,LOUIS,FOSTER,Wisconsin,45,10,WCPass,Cover2Bal,57,64,35,57,58,55,59,44,49,80,86,54,24,60,56,68,45,54,37,52,52,52,56,52,45,54,73,61,65,53
19,19,MICHAEL,BROCKMAN,Illinois,61,21,Smashmouth,Cover2Cover,39,52,59,23,82,64,82,80,54,32,16,62,51,55,71,76,62,43,32,34,65,72,39,75,57,29,34,54,56,55
20,20,CHRISTOPHER,MCCLEAVE,Mississippi State,55,23,Smashmouth,3-4Cover,60,49,50,30,65,64,53,12,38,75,49,35,43,36,40,54,36,75,35,19,49,38,29,44,74,44,60,48,72,56
